Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:48,0.836812075,0.079760739,-0.046187265,-0.539676303,-0.003884979,-0.08759708,-0.023142688,2672.172,-6295.80762,1165.09607,7.000234,2.90920162,-0.3188958
2022-08-03 5:49,0.835489205,0.097181787,-0.06215183,-0.537262168,-0.003703841,-0.088441804,-0.023782073,2880.70459,-6205.162,1154.90283,6.90069675,3.133291,-0.360599041
2022-08-03 5:49,0.833621654,0.114780644,-0.078254975,-0.534580677,-0.00335706,-0.08925814,-0.02275139,3086.1394,-6107.844,1143.46423,6.793742,3.35400438,-0.4019121
2022-08-03 5:50,0.831187418,0.132556907,-0.094465132,-0.531631903,-0.003047284,-0.09039941,-0.023334324,3288.25586,-6003.9585,1130.7926,6.679486,3.57110357,-0.442790329
2022-08-03 5:50,0.82816753,0.150486096,-0.110760341,-0.528417092,-0.002700146,-0.09133351,-0.025098212,3486.83643,-5893.6167,1116.90173,6.55805159,3.78435516,-0.483189642
2022-08-03 5:51,0.82455143,0.168480249,-0.127145898,-0.524941202,-0.001317437,-0.09192825,-0.023996247,3681.66821,-5776.93848,1101.80664,6.42957067,3.9935298,-0.5230665
2022-08-03 5:51,0.820330818,0.186557194,-0.143575224,-0.521190864,-0.000751864,-0.0926248,-0.024199462,3872.54126,-5654.04834,1085.52356,6.294182,4.1984024,-0.5623779
2022-08-03 5:52,0.815490446,0.204678203,-0.160027316,-0.517178328,-0.000444112,-0.093570285,-0.025999485,4059.25122,-5525.07959,1068.07019,6.152032,4.39875269,-0.601081431
2022-08-03 5:52,0.810043394,0.222758176,-0.176492941,-0.512892518,-0.000803546,-0.09390695,-0.024936715,4241.597,-5390.171,1049.46521,6.003274,4.594365,-0.6391355
2022-08-03 5:53,0.803962106,0.240810374,-0.19292885,-0.5083638,-0.000612736,-0.09452075,-0.026603732,4419.3833,-5249.46729,1029.729,5.848069,4.78503,-0.6764989
2022-08-03 5:53,0.79726803,0.258750124,-0.209326083,-0.503581821,-0.00013462,-0.09476362,-0.026798258,4592.41846,-5103.12061,1008.88269,5.68658543,4.970542,-0.7131315
2022-08-03 5:54,0.789970298,0.276537379,-0.225657587,-0.498550558,0.00030339,-0.094719075,-0.025415026,4760.517,-4951.288,986.948853,5.518997,5.15070152,-0.7489939
2022-08-03 5:54,0.782064664,0.294170851,-0.241880535,-0.493287115,0.000838292,-0.09495564,-0.026808895,4923.499,-4794.134,963.9512,5.34548473,5.32531548,-0.784047365
2022-08-03 5:55,0.773588837,0.311554596,-0.25799202,-0.487784955,0.001354743,-0.094752826,-0.025519934,5081.189,-4631.82666,939.914551,5.166236,5.49419641,-0.8182544
2022-08-03 5:55,0.764540583,0.328700359,-0.273944626,-0.482066501,0.001742742,-0.09485136,-0.026756086,5233.41748,-4464.5415,914.864868,4.98144436,5.65716267,-0.851578236
2022-08-03 5:56,0.754955234,0.345529047,-0.289733402,-0.476137404,0.003217598,-0.09467405,-0.026321936,5380.022,-4292.4585,888.829163,4.79131,5.81403971,-0.8839831
2022-08-03 5:56,0.744872689,0.362009472,-0.305326844,-0.469988657,0.003674611,-0.093793966,-0.024950223,5520.84473,-4115.762,861.8356,4.59603739,5.964659,-0.915434062
2022-08-03 5:57,0.734298357,0.378155331,-0.320685262,-0.463643646,0.003097108,-0.09355618,-0.02609898,5655.735,-3934.643,833.913147,4.395838,6.10886,-0.9458973
2022-08-03 5:57,0.723274666,0.393886042,-0.33581342,-0.457118025,0.003598201,-0.09305017,-0.025707115,5784.548,-3749.29614,805.092041,4.190927,6.246487,-0.97533983
2022-08-03 5:58,0.711839693,0.409173863,-0.350694515,-0.45041576,0.004902532,-0.0922968,-0.024104651,5907.14551,-3559.921,775.4033,3.98152637,6.37739325,-1.00372982
2022-08-03 5:58,0.700013555,0.424049929,-0.365279414,-0.443546649,0.005085304,-0.091574594,-0.025039794,6023.39648,-3366.721,744.8791,3.7678628,6.50143862,-1.03103662
2022-08-03 5:59,0.687847072,0.43845045,-0.379577276,-0.436518842,0.005380311,-0.090830796,-0.02463738,6133.177,-3169.90454,713.552246,3.55016637,6.618491,-1.05723083
2022-08-03 5:59,0.675370833,0.452373272,-0.393566977,-0.429345658,0.005800376,-0.089737155,-0.023928436,6236.36865,-2969.68286,681.456665,3.32867146,6.7284255,-1.08228433
2022-08-03 6:00,0.662627549,0.465799857,-0.407242248,-0.42202959,0.006126969,-0.08852014,-0.02232392,6332.86133,-2766.27148,648.626831,3.10361719,6.83112526,-1.10617042
2022-08-03 6:00,0.649635838,0.478746203,-0.420581314,-0.41459222,0.006299031,-0.08752058,-0.021752007,6422.55225,-2559.88916,615.0983,2.87524581,6.926481,-1.12886333
2022-08-03 6:01,0.636437265,0.491195534,-0.433582487,-0.407039042,0.006460912,-0.08654,-0.021247357,6505.3457,-2350.75757,580.907166,2.64380336,7.014391,-1.15033889
2022-08-03 6:01,0.62305362,0.503163282,-0.446231605,-0.399384843,0.006557467,-0.08552842,-0.022166958,6581.15234,-2139.10132,546.090332,2.409539,7.094762,-1.170574
2022-08-03 6:02,0.60954667,0.514618525,-0.458535161,-0.391619888,0.005893533,-0.08404746,-0.020571055,6649.892,-1925.14807,510.6853,2.172705,7.1675086,-1.1895467
2022-08-03 6:02,0.595913437,0.525590043,-0.470488532,-0.383774442,0.006168615,-0.08297684,-0.01981887,6711.4917,-1709.12769,474.730255,1.9335562,7.23255444,-1.207237
2022-08-03 6:03,0.582175082,0.536090314,-0.482086298,-0.375861875,0.006876166,-0.081845515,-0.020651167,6765.885,-1491.27246,438.263977,1.69235015,7.28983068,-1.22362614
2022-08-03 6:03,0.568398114,0.546106423,-0.493326034,-0.367859732,0.006320321,-0.08046905,-0.019071022,6813.01465,-1271.81616,401.325745,1.44934583,7.33927727,-1.23869658
2022-08-03 6:04,0.554560926,0.555673725,-0.504209248,-0.359808177,0.006289212,-0.07923406,-0.019517386,6852.83,-1050.99463,363.955353,1.20480454,7.380842,-1.25243223
2022-08-03 6:04,0.540704597,0.564781928,-0.51475092,-0.351697886,0.006910025,-0.07826561,-0.018970411,6885.29,-829.0449,326.1931,0.9589889,7.41448164,-1.26481867
2022-08-03 6:05,0.52685247,0.573459888,-0.52493162,-0.343536062,0.006319536,-0.07689836,-0.01856344,6910.35938,-606.205261,288.0797,0.712163,7.440161,-1.27584255
2022-08-03 6:05,0.513017251,0.581701468,-0.534783429,-0.33532579,0.006959075,-0.075950034,-0.01662968,6928.012,-382.714935,249.656189,0.464591771,7.45785475,-1.28549218
2022-08-03 6:06,0.49919535,0.589556482,-0.544274158,-0.327097534,0.006517326,-0.07447757,-0.01757314,6938.23,-158.813965,210.963867,0.2165413,7.4675436,-1.29375756
2022-08-03 6:06,0.485429432,0.596995222,-0.553451108,-0.318821017,0.006833929,-0.07378261,-0.015613348,6941.00244,65.2576447,172.0445,-0.031722594,7.46921968,-1.30063
2022-08-03 6:07,0.471701185,0.604074933,-0.562277543,-0.310540546,0.006316745,-0.07216793,-0.016695619,6936.327,289.259338,132.939926,-0.279933453,7.46288157,-1.30610216
2022-08-03 6:07,0.458051984,0.610772284,-0.5707968,-0.302219471,0.006108411,-0.071123265,-0.014760802,6924.20947,512.950745,93.69228,-0.527825,7.44853735,-1.3101685
2022-08-03 6:08,0.444447209,0.617129577,-0.578996526,-0.293906083,0.006644493,-0.07036035,-0.015649738,6904.66357,736.0919,54.34379,-0.7751313,7.42620325,-1.31282485
2022-08-03 6:08,0.430934208,0.6231438,-0.586886253,-0.285573175,0.006625187,-0.06922678,-0.015253317,6877.71045,958.4434,14.9368343,-1.02158689,7.39590454,-1.31406844
2022-08-03 6:09,0.417504619,0.628835728,-0.594473446,-0.277230666,0.00648712,-0.068250455,-0.014703509,6843.37939,1179.767,-24.4862137,-1.26692772,7.357675,-1.31389821
